,Date,Q
378,1923-10-14,66.1
379,1923-10-15,71.3
380,1923-10-16,66.1
381,1923-10-17,60.0
382,1923-10-18,55.2
383,1923-10-19,52.8
384,1923-10-20,56.4
385,1923-10-21,55.2
386,1923-10-22,67.4
387,1923-10-23,56.4
388,1923-10-24,186.0
389,1923-10-25,303.0
390,1923-10-26,198.0
391,1923-10-27,180.0
392,1923-10-28,228.0
393,1923-10-29,512.0
394,1923-10-30,216.0
395,1923-10-31,234.0
396,1923-11-01,210.0
397,1923-11-02,164.0
398,1923-11-03,149.0
399,1923-11-04,144.0
400,1923-11-05,130.0
401,1923-11-06,126.0
402,1923-11-07,114.0
403,1923-11-08,110.0
404,1923-11-09,102.0
405,1923-11-10,135.0
406,1923-11-11,98.0
407,1923-11-12,94.3
408,1923-11-13,88.3
409,1923-11-14,82.3
410,1923-11-15,76.7
411,1923-11-16,71.3
412,1923-11-17,68.7
413,1923-11-18,68.7
414,1923-11-19,64.8
415,1923-11-20,61.2
416,1923-11-21,58.8
417,1923-11-22,71.3
418,1923-11-23,56.4
419,1923-11-24,55.2
420,1923-11-25,54.0
421,1923-11-26,50.5
422,1923-11-27,48.3
423,1923-11-28,47.2
424,1923-11-29,46.1
425,1923-11-30,46.1
426,1923-12-01,44.0
427,1923-12-02,42.0
428,1923-12-03,41.0
429,1923-12-04,41.0
430,1923-12-05,41.0
431,1923-12-06,40.0
432,1923-12-07,38.2
433,1923-12-08,37.3
434,1923-12-09,36.4
435,1923-12-10,35.5
436,1923-12-11,35.5
437,1923-12-12,34.6
438,1923-12-13,33.7
439,1923-12-14,33.7
440,1923-12-15,33.7
441,1923-12-16,32.8
442,1923-12-17,31.9
443,1923-12-18,31.9
444,1923-12-19,33.7
445,1923-12-20,32.8
446,1923-12-21,31.9
447,1923-12-22,31.9
448,1923-12-23,31.0
449,1923-12-24,30.1
450,1923-12-25,29.2
451,1923-12-26,28.4
452,1923-12-27,27.6
453,1923-12-28,27.6
454,1923-12-29,27.6
455,1923-12-30,26.8
456,1923-12-31,26.0
457,1924-01-01,24.5
458,1924-01-02,24.5
459,1924-01-03,23.8
460,1924-01-04,23.1
461,1924-01-05,23.1
462,1924-01-06,23.1
463,1924-01-07,29.2
464,1924-01-08,29.2
465,1924-01-09,27.6
466,1924-01-10,26.8
467,1924-01-11,26.0
468,1924-01-12,26.0
469,1924-01-13,22.4
470,1924-01-14,21.7
471,1924-01-15,21.7
472,1924-01-16,21.0
473,1924-01-17,21.0
474,1924-01-18,20.3
475,1924-01-19,20.3
476,1924-01-20,20.3
477,1924-01-21,19.6
478,1924-01-22,18.9
479,1924-01-23,18.9
480,1924-01-24,18.9
481,1924-01-25,18.9
482,1924-01-26,18.9
483,1924-01-27,18.9
484,1924-01-28,18.2
485,1924-01-29,18.2
486,1924-01-30,18.2
487,1924-01-31,17.6
488,1924-02-01,17.6
489,1924-02-02,17.6
490,1924-02-03,17.0
491,1924-02-04,17.0
492,1924-02-05,17.0
493,1924-02-06,17.0
494,1924-02-07,17.0
495,1924-02-08,16.4
496,1924-02-09,16.4
497,1924-02-10,16.4
498,1924-02-11,17.6
499,1924-02-12,23.1
500,1924-02-13,20.3
501,1924-02-14,18.2
502,1924-02-15,18.2
503,1924-02-16,17.0
504,1924-02-17,17.0
505,1924-02-18,17.0
506,1924-02-19,16.4
507,1924-02-20,15.8
508,1924-02-21,17.0
509,1924-02-22,17.0
510,1924-02-23,17.0
511,1924-02-24,17.0
512,1924-02-25,17.0
513,1924-02-26,16.4
514,1924-02-27,15.8
515,1924-02-28,17.0
516,1924-02-29,16.4
517,1924-03-01,15.8
518,1924-03-02,15.8
519,1924-03-03,16.4
520,1924-03-04,17.0
521,1924-03-05,17.0
522,1924-03-06,15.8
523,1924-03-07,15.2
524,1924-03-08,15.2
525,1924-03-09,14.7
526,1924-03-10,14.7
527,1924-03-11,14.7
528,1924-03-12,14.7
529,1924-03-13,14.2
530,1924-03-14,13.7
531,1924-03-15,13.7
532,1924-03-16,13.7
533,1924-03-17,13.7
534,1924-03-18,13.7
535,1924-03-19,13.7
536,1924-03-20,13.7
537,1924-03-21,13.2
538,1924-03-22,13.2
539,1924-03-23,12.7
540,1924-03-24,12.7
541,1924-03-25,12.7
542,1924-03-26,12.7
543,1924-03-27,12.7
544,1924-03-28,13.7
545,1924-03-29,15.8
546,1924-03-30,14.7
547,1924-03-31,14.7
548,1924-04-01,14.2
549,1924-04-02,13.7
550,1924-04-03,13.2
551,1924-04-04,13.2
552,1924-04-05,12.7
553,1924-04-06,12.7
554,1924-04-07,14.7
555,1924-04-08,17.0
556,1924-04-09,17.0
557,1924-04-10,15.8
558,1924-04-11,17.0
559,1924-04-12,15.8
560,1924-04-13,16.4
561,1924-04-14,15.8
562,1924-04-15,18.9
563,1924-04-16,23.8
564,1924-04-17,17.0
565,1924-04-18,16.4
566,1924-04-19,15.8
567,1924-04-20,15.8
568,1924-04-21,30.1
569,1924-04-22,57.5
570,1924-04-23,68.8
571,1924-04-24,52.2
572,1924-04-25,86.1
573,1924-04-26,69.6
574,1924-04-27,83.6
575,1924-04-28,47.2
576,1924-04-29,35.5
577,1924-04-30,31.0
578,1924-05-01,45.0
579,1924-05-02,76.2
580,1924-05-03,78.1
581,1924-05-04,71.7
582,1924-05-05,118.0
583,1924-05-06,71.2
584,1924-05-07,144.0
585,1924-05-08,126.0
586,1924-05-09,102.0
587,1924-05-10,110.0
588,1924-05-11,79.5
589,1924-05-12,234.0
590,1924-05-13,92.8
591,1924-05-14,150.0
592,1924-05-15,92.8
593,1924-05-16,85.3
594,1924-05-17,78.1
595,1924-05-18,60.0
596,1924-05-19,72.0
597,1924-05-20,72.8
598,1924-05-21,56.4
599,1924-05-22,63.6
600,1924-05-23,110.0
601,1924-05-24,79.5
602,1924-05-25,126.0
603,1924-05-26,89.8
604,1924-05-27,108.0
605,1924-05-28,189.8
606,1924-05-29,189.8
607,1924-05-30,135.0
608,1924-05-31,159.0
609,1924-06-01,98.0
610,1924-06-02,71.3
611,1924-06-03,97.1
612,1924-06-04,126.0
613,1924-06-05,88.3
614,1924-06-06,67.4
615,1924-06-07,62.4
616,1924-06-08,55.2
617,1924-06-09,54.0
618,1924-06-10,60.0
619,1924-06-11,73.9
620,1924-06-12,61.2
621,1924-06-13,73.9
622,1924-06-14,86.8
623,1924-06-15,143.0
624,1924-06-16,300.0
625,1924-06-17,118.0
626,1924-06-18,85.3
627,1924-06-19,70.0
628,1924-06-20,68.7
629,1924-06-21,62.4
630,1924-06-22,106.0
631,1924-06-23,89.8
632,1924-06-24,78.1
633,1924-06-25,108.0
634,1924-06-26,114.0
635,1924-06-27,92.4
636,1924-06-28,110.0
637,1924-06-29,135.0
638,1924-06-30,106.0
639,1924-07-01,102.0
640,1924-07-02,85.3
641,1924-07-03,72.6
642,1924-07-04,82.3
643,1924-07-05,91.3
644,1924-07-06,82.3
645,1924-07-07,106.0
646,1924-07-08,79.5
647,1924-07-09,75.3
648,1924-07-10,76.7
649,1924-07-11,92.8
650,1924-07-12,92.8
651,1924-07-13,98.0
652,1924-07-14,86.8
653,1924-07-15,79.5
654,1924-07-16,79.5
655,1924-07-17,82.3
656,1924-07-18,86.8
657,1924-07-19,86.8
658,1924-07-20,82.3
659,1924-07-21,79.5
660,1924-07-22,89.8
661,1924-07-23,118.0
662,1924-07-24,84.1
663,1924-07-25,61.2
664,1924-07-26,49.4
665,1924-07-27,52.8
666,1924-07-28,45.0
